"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Los Angeles","CA","Los Angeles","06","037",273.307291666667,266.577777777778,261.487964989059,256.652360515021,253.342245989305,254.237288135593,254.700854700855,259.149818558839,259.259259259259,262.611046736192,262.960180315552,268.361581920904,267.11813393529,261.314655172414,255.511811023622,260.896309314587,255.337837837838,264.10998552822,263.888888888889,264.266304347826,263.677811550152,259.067357512953,257.647058823529,254.833040421793,253.549695740365,251.111111111111,245.875947622329,244.00218579235,246.085011185682,245.603751465416,241.25,243.675099866844,243.362831858407,242.268041237113,245.005257623554,240.761478163494,237.771739130435,235.13986013986,230.902777777778,230.692307692308,227.809752198241,232.656514382403,234.54157782516,239.27304964539,244.618395303327,247.495580436064,248.375116063138,249.375,249.698535745047,250.949796472185,252.739726027397,259.006211180124,263.75,276.476101218369,290.418273509344,298.903836571998,306.496350364964,311.526479750779,312.854030501089,313.400576368876,312.828535669587,309.241094475994,310.966810966811,307.065217391304,311.080041943376
"Cook","IL","Chicago","17","031",197.777777777778,194.766,192.269230769231,194.878048780488,194.333333333333,195.532915360502,196.811594202899,199,198.857142857143,194.95,192.831955922865,194.117647058824,190.863636363636,186.724960254372,187.231759656652,186.246612466125,187.410714285714,186.762629757785,185.714285714286,185,185.179398148148,179.681576952237,177.666666666667,170.75,172.249093107618,169.095640858816,161.49703823371,157.292759706191,157.883720930233,157.842105263158,157.234042553192,157.331655129012,155.510675129833,153.062678062678,154.993514915694,153.133704735376,149.6875,144.167758846658,140.248962655602,139.720442632499,139.278557114228,139.04347826087,140,139.453398738612,139.584824624195,134.266517357223,132.173913043478,129.694991055456,128.066037735849,127.675931401538,124.916666666667,124.253731343284,128.286055776892,133.448648648649,138.109090909091,142.133333333333,144.228634850166,143.813015582035,143.400286944046,144.869565217391,143.177282377919,138.064133016627,135.869565217391,132.449856733524,142.352941176471
"Harris","TX","Houston","48","201",70,69.5634266886326,69.6920583468395,69.9819634114919,71.594427244582,75.8725341426404,76.6871165644172,77.7051561365287,77.3036082474227,77.9220779220779,77.7027027027027,77.8519755147468,77.3967551622419,76.8561872909699,76.8589743589744,76.1428571428571,77.2797527047913,77.1058315334773,77.0565552699229,76.7277023036031,76.1075350246119,74.8024948024948,73.8,75.4884547069272,75.1046025104603,75.7328990228013,75.0406504065041,74.5153473344103,75.354609929078,75.7034632034632,74.4587478057343,75.1262626262626,76.1335012594458,75.0273846153846,75.3367003367003,73.5294117647059,74.0835464620631,72.8563913729616,73.0853391684902,73.2528041415013,73.0434782608696,73.9622641509434,74.6510873093152,75.1133786848073,75.4791431792559,75.1377582968065,75.3317720530835,75.180874488833,74.9941860465116,75.5330683050235,76.4137554585153,76.8120499279885,79.1139240506329,80.1345059493016,81.0911602209945,82,82.5957211361121,82.6674014880132,83.3064516129032,83.9067127344521,85.7582781456954,85.0561009817672,85.6697819314642,86.4343598055105,88.8293988805062
"Maricopa","AZ","Phoenix","04","013",125.905511811024,118.394736842105,114.253048780488,111.646586345382,109.944444444444,108.187134502924,107.87841191067,113.570180547467,108.055009823183,104.83682983683,102.493917274939,105.120379789759,101.541695865452,98.1894150417827,99.1501416430595,97.3013493253373,95.6632653061225,94.0203083866115,92.7990135635019,91.2334352701325,90.2791461412151,87.5182481751825,84.7457627118644,83.4525512637101,82.0374370050396,80.9248554913295,79.4039735099338,78.6319612590799,79.2836074872377,78.7786577740725,77.4336283185841,77.7606992163954,77.7561608300908,76.8667642752562,78.8658606793322,78.9607743250127,80.5385288966725,81.3356164383562,82.0589680589681,84.5394736842105,86.2589928057554,89.9284253578732,94.1346850108617,96.1202376791332,97.5609756097561,98.3675177898702,100,101.133603238866,103.197086199919,106.060606060606,107.114228456914,109.665621734587,112.618296529968,115.402089959109,118.469015795869,121.173469387755,122.222222222222,122.439980401764,121.872601688411,122.394441475147,123.595505617978,123.296158612144,124.246079613993,124.960455552041,126.489810260014
"San Diego","CA","San Diego","06","073",239.923224568138,228.1232173417,227.683411637152,228.030589543938,227.40014015417,228.507936507937,230.730769230769,239.234449760766,240.196078431373,240.825688073395,240.594925634296,248.427672955975,245.930644019816,243.589743589744,247.770069375619,244.047619047619,245.538461538462,244.002789400279,244.337248322148,244.780417566595,244.08322496749,241.532258064516,240.218088518281,234.527486102532,231.990231990232,230.882217090069,226.997578692494,224.306688417618,224.780701754386,217.514124293785,221.618953603159,223.843930635838,222.547717842324,220.490196078431,218.130311614731,213.872340425532,211.688449148642,210.733801717408,209.274314965372,208.681245858184,207.042253521127,209.173586397786,210.798816568047,216.092654678452,218.14404432133,220.154296875,222.160356347439,219.512195121951,222.772277227723,223.378746594005,225.730994152047,230.769230769231,238.924632352941,247.496046389035,256.42965204236,265.90084643289,275.095785440613,278.810408921933,279.969650986343,281.038374717833,279.461697722567,276.278409090909,275.836972343523,278.490566037736,283.101045296167
"Orange","CA","Los Angeles","06","059",303.951612903226,298.140770252324,293.75,288.392213410238,287.5,288,288.636363636364,288,296.78416821274,293.42492639843,289.8,291.970072992701,291.140024783147,287.136294027565,287.779237844941,287.439186200796,285.773466833542,284.210526315789,286.796536796537,286.781609195402,286.764705882353,282.18220908358,282.108389012621,276.785714285714,276.315789473684,276.073619631902,272.108087679516,270.751523358158,270.27027027027,270.321637426901,269.506219374293,269.218798630563,270.139505389981,267.857142857143,273.413566739606,270.202702702703,268.814432989691,266.527777777778,263.396226415094,263.920454545455,264.705882352941,268.337975858867,271.444082519001,275.576036866359,279.199711607787,283.333333333333,286.327944572748,287.333333333333,288.316303864949,291.098169717138,293.823529411765,303.196721311475,308.542039355993,320.16348773842,329.661016949152,339.444444444444,346.035411855273,349.124613800206,352.636534839925,353.437876960193,353.437876960193,352.941176470588,353.233830845771,353.621945992285,356.875365710942
"Kings","NY","New York","36","047",322.429906542056,322.801510989011,326.143790849673,324.539877300614,324.583333333333,328.417470221214,369.093231162197,373.406966864911,397.058823529412,368.263473053892,381.481481481481,403.205128205128,399.032648125756,406,400.501672240803,409.363468634686,403.846153846154,383.314543404735,383.333333333333,391.454965357968,387.777777777778,383.846153846154,380,398.333333333333,404.27993059572,404.166666666667,408.207343412527,397.92663476874,397.058823529412,399.166666666667,401.300236406619,402.337662337662,380.882352941176,369.15504511895,383.333333333333,384.98985801217,409.047619047619,417.313432835821,417.36304549675,418.467583497053,425,427.21217887726,445.884146341463,453.75,438.244047619048,436.71875,429.319371727749,422.669491525424,415.492957746479,407.407407407407,392.582692950217,389.914772727273,389.29219600726,395.833333333333,403.195488721804,403.446226975639,407.532321528949,398.571428571429,396.730462519936,410.872313527181,414.982164090369,433.159722222222,402.792696025779,399.666666666667,392.857142857143
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",188.513513513514,187.179487179487,181.090909090909,188.609467455621,187.903225806452,184.297456690011,184.124386252046,183.006535947712,183.383458646617,184.016824395373,177.529182879377,180.736357659435,180.281690140845,178.571428571429,184.952978056426,178.129298486933,176.923076923077,170.028818443804,167.758846657929,168.690958164642,164.398280802292,158.459214501511,153.652392947103,148.986889153754,153.260869565217,156.603773584906,153.543307086614,152.173913043478,172.572480441786,161.6,141.25669751583,165.772793759142,166.254635352287,167.224080267559,175.17523364486,182.795698924731,182.282793867121,187.456445993031,199.419869470631,186.813186813187,182.852143482065,188.492063492063,195.449561403509,192.81045751634,186.661244408296,198.675496688742,201.238390092879,198.643402090986,149.48859166011,149.876835622928,157.342657342657,162.853005068791,165.605095541401,170.957095709571,169.902912621359,169.491525423729,173.955296404276,179.803761242845,163.329928498468,162.125050916497,166.666666666667,177.789934354486,180.124223602484,186.848436246993,192.105263157895
"Dallas","TX","Dallas-Fort Worth","48","113",76.8415474297827,75.554435483871,74.9531308586427,76.4221724524076,76.0406997500892,80.8574879227053,81.8406593406593,85.900365630713,84.4370860927152,85.3632478632478,83.7152777777778,85.1139796759132,84.7457627118644,85.6617647058823,85.4709767118526,85.0281995661605,84.8868175765646,86.292270531401,87.9778672032193,88.3770614692654,88.5479688850475,88.0239520958084,85.0104094378903,84.975,84.975,84.5771144278607,82.0867959372115,79.9911071587372,81.7253904831093,82.0711678832117,81.0554803788904,83.0101569713758,82.3730260349979,81.7160367722165,82.0528580208974,80.2843016069221,80.8142777467931,79.5454545454545,78.9473684210526,78.3108108108108,80.2725968436155,81.3594232749743,82.2267920094007,85.0574712643678,84.9514563106796,83.4473324213406,82.4561403508772,82.2510822510823,83.7057728119181,84.2058093346574,83.955223880597,83.4349919743178,83.9204006325778,90.3092006033183,93.5497650576677,94.7242206235012,94.9367088607595,94.5723684210526,94.5874934314241,94.8551448551448,94.8200654307525,94.3731117824773,93.8964788732394,91.1764705882353,92.5925925925926
"Queens","NY","New York","36","081",283.996,286.25,284.242424242424,277.222222222222,280,277.483443708609,286.61800486618,287.756097560976,299,297.45889387145,304.115853658537,313.333333333333,313.684210526316,311.764705882353,310,307.179487179487,299.999,304.736842105263,312.5,322.307692307692,319.333333333333,313.432835820896,308.159722222222,308.641975308642,308.333333333333,309.563758389262,307.5,307.218309859155,304.115853658537,305.373525557012,304.006968641115,303.921568627451,302.173913043478,301.512287334594,311.383928571429,307.6,321.727692307692,311.773255813953,311.71875,312.239221140473,314.73594548552,324.719101123596,328.095238095238,335,329.5,325,319.675821701936,316.198224852071,315.664556962025,309.397163120567,312.68221574344,312.498922413793,337.723424270931,350.489379084967,352.987421383648,356.25,355.714285714286,356.512141280353,357.008643367155,361.413043478261,355.971896955503,354.166666666667,355.413105413105,354.544545454545,355.603448275862
"Riverside","CA","Riverside","06","065",128.213367609255,119.901199717713,117.446673034066,113.614800759013,111.339522546419,110,109.959467284308,110.738255033557,108.78084179971,109.047202797203,111.234817813765,114,115.797172111165,112.655800575264,113.93986723936,114.69298245614,115.066225165563,116.761805915932,118.988095238095,119.945167923235,118.8,116.064516129032,115,114.466634193863,114.035124841303,115.846571096474,114.015645371578,113.305276788605,114.200217627856,113.643003213555,113.224637681159,112.401471361009,111.038322961022,109.188298310672,109.7605893186,109.178321678322,109.243697478992,109.846153846154,110.104061765693,110.294117647059,109.670987038883,111.216566005177,112.244897959184,112.903225806452,113.493064312736,114.527864992151,117.069980379333,119.565217391304,122.962962962963,126.864093072448,130.766253869969,134.898362507058,139.729389846297,143.67816091954,146.627565982405,150.192604006163,151.879370629371,153.538461538462,153.571428571429,155.466763530694,158.536585365854,160.79295154185,162.897223017463,163.194444444444,165.766738660907
"San Bernardino","CA","Riverside","06","071",143.998254037538,132.575757575758,126.150306748466,120.032051282051,115.838862559242,110.619469026549,110.34282393957,110.487528344671,103.611349957008,102.777777777778,101.113360323887,102.50569476082,99.8402555910543,96.6334164588529,99.4208194905869,113.095238095238,110,110.137741046832,111.916264090177,114.777618364419,116.465863453815,113.257305773343,111.841491841492,112.70220100769,110.220994475138,109.054857898215,105.24241229799,105.36398467433,107.969275084013,107.173913043478,103.618421052632,106.6,106.960950764007,107.336956521739,108.333333333333,108.413639733136,108,105.190033783784,104.340567612688,103.09175257732,102.631578947368,105.242801890847,107.52688172043,109.751121991024,111.210954214805,112.156295224313,115.283267457181,115.138888888889,115.848007414272,115.727391874181,115.604867573372,113.964223889209,116.675546084177,120.815709969789,123.490669593853,128.437594439408,132.183908045977,136.481428160092,139.964264443121,142.045454545455,144.498186215236,141.008626410086,142.857142857143,143.952299829642,145.833333333333
"Clark","NV","Las Vegas","32","003",111.754966887417,107.398568019093,103.648068669528,99.4363395225464,95.2640174197061,91.5090189177299,89.0292935094773,87.890625,85.2825229960578,84.0766823161189,84.3126229969075,84.8946135831382,84.468085106383,83.4923664122137,85.0439882697947,85.0954478707783,84.9574885546108,84.4757433489828,84.4757433489828,84.2105263157895,83.3333333333333,80.6028037383178,78.722700198544,78.6246893123447,76.9230769230769,76.4525993883792,74.4087164496412,73.355128729056,74.4047619047619,73.735199138859,71.8050065876153,71.4577378521846,71.9010641357492,70.577474892396,71.1846496106785,70.1757253780139,69.5108695652174,68.9493433395872,68.7127805771874,68.7285223367698,68.8823239783358,69.6880733944954,70.6630944407234,73.4349919743178,75.0125062531266,74.1280913126189,74.1163055872292,74.9027237354086,76.2439807383628,76.7045454545455,79.0055248618784,81.3475760065735,82.773178807947,84.9132947976879,87.5912408759124,90.2198635329795,93.508800880088,94.89592760181,98.664343786295,100.635593220339,101.642710472279,102.325581395349,102.314165497896,101.226993865031,102.634358974359
