"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Shelby","IA",,"19","165",22.2222,38.8889,37.5,46.6667,40,50,25,26.0417,25.7732,26.7327,23.5294,29.8077,35.2941,35,34.6154,32.4074,38.2353,37.7551,40.6593,37.5,22.6667,29.7297,28.5714,33.3333,33.3333,36.7816,35.4839,38.1443,34.0206,39.7727,37.1134,40,36.2069,21.8182,30.3571,27.1186,31.5789,27.9412,27.1429,31.25,32.3529,34.7826,27.2727,23.7288,29.0323,26.2295
"Lewis","TN",,"47","101",23.4146,27.6382,33.1522,38.75,28.7425,25.6983,20.9302,22.6415,20.5128,20.6522,18.75,24.1026,30.625,32.7586,32,24.8649,28.9773,25.8621,19.8795,20.3488,23.0303,28.4848,25.4438,28.7425,34.1463,28.9941,30.3797,22.9167,20.4082,22.5352,16.9231,16.3793,22.8814,19.5122,25.2033,25.641,24,31.2977,32.0896,31.3433,26.5734,26.4151,25.7862,24.2038,22.5,17.8082
"Edmonson","KY","Bowling Green","21","061",25.3012,29.6296,30.5882,27.381,20,20.3125,19.1176,19.1489,21.2766,26.087,21.2766,23.2558,15.3846,13.7255,12.7273,13.5593,23.3333,25,23.4375,29.8246,18.3333,15,15.7303,22.3684,26.2295,29.0323,31.25,24.5283,19.2308,12.963,7.3171,13.2353,16.3934,15.7895,20.9677,16.9492,22.0339,21.2121,24.3243,28.5714,22.7848,25.641,30.4348,32.3944,33.3333,27.4194
"Poquoson City","VA","Virginia Beach","51","735",36.2637,49.2228,50,51.087,46.3687,33.8983,28.8235,24.2424,23.9796,21.7778,21.8487,35.0515,31.3725,37.1429,33.1395,30.3571,33.3333,29.5302,30.5085,29.9145,30.5556,29.6,25.7813,31.1594,40,44.4444,46.6667,43.0657,41.3223,35.5072,25.2632,20.6612,28.3019,33.6364,45.9459,43.4109,48,46.4286,48.366,45.0331,41.2587,42.0635,39.5161,33.0579,29.661,34.2342
"Madison","LA","Tallulah","22","065",27.2727,26.3158,23.5294,33.3333,33.3333,38.0952,34.7826,36.3636,34.7826,20.8333,15.3846,23.8095,21.0526,19.0476,26.087,22.7273,13.6364,19.0476,10.5263,10.5263,10,26.3158,20,15,25,29.4118,26.3158,40,40,,,,,16.6667,15.3846,,,16.6667,9.0909,8.3333,7.6923,15.3846,21.4286,31.25,23.5294,
"Sussex","VA","Richmond","51","183",32.9268,36.3636,35.9223,30,28.0374,24.0385,23,40,38.1818,36.7347,28.8288,25,26.8657,31.8841,32.7869,21.3115,25,26.5625,21.9512,24.4681,20.2899,27.9412,29.4872,28.7671,23.2877,26.4706,28.3582,38.2353,31.4815,26.4151,24.2857,27.451,25.4902,24.0741,26.2295,21.1268,21.4286,25.8065,25,23.5294,22.0339,23.7288,24.6154,20,24.0741,23.8095
"Archuleta","CO",,"08","007",20.6564,35.159,35.8932,36.3919,33.2362,26.8333,23.6655,20.5405,20.0382,24.0223,21.1573,29.8354,29.8113,29.8276,32.9806,29.529,30.2817,25.7603,22.8261,22.7459,20.0946,23.1144,17.8344,22.8111,22.3819,28.4615,29.6992,31.9703,30.7692,29.5745,17.6408,12.8329,11.7723,11.3892,11.7647,15.4255,16.5663,16.3355,25.1269,35.0126,37.6316,29.7414,20.7229,16.7553,15.8501,16.5323
"Cherokee","IA",,"19","035",35.2941,35.7143,18.1818,18.75,38.4615,42.8571,50,60,50,35.7143,41.6667,,,,16.8539,17.9775,20.4301,25.5556,21.9512,25,13.6364,7.5758,7.1429,8.5714,13.6986,20,19.403,20.3125,23.7288,23.8095,23.8806,23.6364,17.6471,21.2766,16.6667,15.5172,19.2982,18.9655,16.9014,29.2135,31.7647,33.3333,33.3333,31.9149,25.5102,20.6522
"Pulaski","GA",,"13","235",20.5128,26.4706,21.5385,17.1875,17.1875,11.2676,10.2564,9.4595,11.9403,14.6667,12.3457,24.6377,15.8416,8.9109,15.942,13.6986,16.092,18.9873,16.129,17.8571,19.7674,17.7215,21.6216,18.0556,10.7143,14.7059,17.8571,27.907,29.7872,30.4348,20,13.3333,11.1111,10.9589,33.7838,36.3636,16.6667,24.5902,25.3968,22.7273,24.0741,22.0339,27.451,16.3265,12.7273,23.6364
"Sierra","NM",,"35","051",17.0455,22.619,12.3457,16.2162,10.5263,11.6279,14.4928,15.1515,19.1176,13.6364,11.3636,14.7059,12.9032,10.1695,11.7647,6.7797,8.8235,19.0476,20,20.9877,20.7317,17.2043,13.3333,17.9775,16.6667,29.0323,28.4404,20.6107,16.5563,17.8161,13.4884,14.4385,15.3409,17.3077,19.209,18.4049,15.5689,13.1579,12.8378,11.039,12.2581,15,13.6905,14.4654,12.3762,13.6364
