"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Stephens","GA","Toccoa","13","257",199000,189000,179900,179000,152500,139900,139900,139900,139900,139000,129900,132000,154900,179000,160000,149900,152500,149000,152500,155000,155000,159000,159900,159000,155000,157000,149500,149810,141000,139000,139000,138900,140000,148000,139000,129900,139000,134000,127500,115000,119000,119000,120000,120000,139500,135000,140000,139900,119900,133000,128500,120000,129900,120000,129900,139900,144900,149000,139900,143000,140000,139900,129000,138000,138000
"Randolph","IN",,"18","135",69000,66900,59900,59900,55900,55500,59900,64900,64900,67900,65000,65000,62500,59900,52800,59900,58900,49900,49900,54900,57900,59900,69900,62900,62900,59900,56000,44900,44900,44900,44900,44900,44900,55900,68900,79000,68900,68900,64900,60000,59900,74900,52750,54500,49900,55000,64900,64900,54900,69999,54900,53000,53000,54900,59900,69900,79900,69900,66500,69999,69900,54523,67500,63500,64900
"Dickinson","MI","Iron Mountain","26","043",64900,62000,59900,67450,67900,68900,69900,69500,67900,77000,65900,67900,69900,78000,78000,79000,79900,89500,89900,94900,89500,89900,82000,79900,79900,79900,89900,89900,94500,95000,89900,89900,89900,89000,89900,89900,99000,99900,99900,109900,112000,100000,94900,93000,84900,84900,84900,88900,89500,92900,89900,89900,84900,92000,86500,93900,89000,89500,88900,85900,85900,85000,79000,74900,79000
"Cheboygan","MI",,"26","031",199500,199900,189900,179900,169900,169900,174000,174900,175000,169900,169900,169000,159900,169000,169000,165000,159900,159900,159900,169900,174900,174900,169900,169000,169900,169500,160000,154900,150000,159900,154900,149900,159900,164900,159900,159900,153000,155000,149900,145900,144900,144900,150000,149900,149900,155900,150000,149900,92500,127600,124900,129000,134900,149000,144900,150000,156500,154900,150000,149900,149500,144000,138500,138500,134900
"Coahoma","MS","Clarksdale","28","027",37600,35000,37600,37600,44900,29900,27000,39900,34900,34900,52500,80000,48500,68500,79900,47500,49000,45000,49000,75000,72500,48000,48000,69900,80000,80000,78000,42900,35000,29900,19900,15500,24900,24900,29900,44900,68000,61900,65000,59900,55900,55900,58000,26900,52000,,,,,,,40000,,24900,24900,23850,26000,,25900,24900,,19800,,,35000
"Jefferson","ID","Idaho Falls","16","051",219900,224700,223900,215000,215000,219900,220000,224900,229900,220000,219900,217400,215000,214900,220000,217400,194900,195000,197900,199900,189900,179000,179000,179900,179500,179900,170000,169000,170900,169900,174900,179900,179900,173000,169900,169500,164900,160000,157000,158500,155900,156000,165000,167900,170000,174900,169900,169900,88400,172000,170000,169900,168000,169900,179900,179900,175900,179000,179900,175000,175000,163000,154900,134900,135000
"Ouachita","AR","Camden","05","103",70000,69500,69900,72900,74900,75000,70000,70000,70000,75000,75000,70000,70000,70000,69900,69000,69500,65000,69000,70000,69500,65000,72000,65000,65000,58900,53900,54900,60000,64900,76500,79000,85000,69900,66500,75000,74900,77900,75000,66000,67500,68900,85000,95000,95000,89900,79900,77500,72500,80000,79000,78000,76000,76000,75000,78900,67500,74900,72500,69900,74000,67500,85900,86000,97500
"Mille Lacs","MN",,"27","095",138900,129900,125000,120000,118400,115500,139900,139900,139900,139900,135000,134900,135000,135000,138600,127900,135850,134900,135900,144900,148000,144900,144900,139800,139900,135000,129900,124900,124900,124900,122000,119900,119900,122500,127900,122500,119900,105900,109900,109900,108900,119900,125000,125000,129000,119900,114900,124900,120000,125000,119900,139000,119900,130000,130900,140000,159900,139900,149900,149900,149900,149900,139500,141900,141900
"Benton","IA","Cedar Rapids","19","011",134500,129500,124800,119950,119950,123000,124900,124900,129500,129900,139950,129900,117900,124900,124900,118900,119900,124900,134950,129900,124500,124900,119900,114000,110000,119900,115000,115000,124500,125000,125000,124500,126900,124900,124500,124500,129900,124900,124900,119000,117900,115900,119900,119900,117000,118000,120000,124500,119000,123500,119900,118000,120000,118000,123500,124900,118500,115000,122500,120000,119900,119900,121950,122500,119500
"McNairy","TN",,"47","109",111500,99900,99900,114900,115900,119500,119900,119900,119500,119000,115000,109900,109500,104500,99500,99500,99900,101000,100900,105000,100000,109500,109900,109500,106900,100000,103900,99950,119900,119900,99900,106000,109500,99500,106000,99900,99900,112000,98500,98500,105000,109000,104900,104900,106000,109000,119250,99500,94900,99500,97800,98900,99900,104900,99900,99900,99000,99000,92400,95000,100000,99000,99000,99000,89900
"Hardin","TN",,"47","071",145000,144000,144000,148500,150000,145900,148500,148500,134900,134900,136500,135000,140000,139900,137000,139000,139900,145000,145000,144000,145000,150000,149900,146900,142900,140000,139500,139500,157000,159000,152500,149900,152500,149500,149000,149500,149000,164500,149000,152500,159900,169900,159000,159900,159500,154900,154900,149500,129000,149000,147000,149900,152000,150000,155000,152000,159000,159000,152000,149900,148000,149000,143500,147900,129500
"Chattooga","GA","Summerville","13","055",95000,89900,109000,115000,109000,84900,84900,79900,68400,69900,72427,75500,75000,75500,84900,99900,99900,109900,99900,79900,79900,119900,125900,115000,115000,119900,115000,97500,99900,94500,84900,89900,99900,99900,102000,102000,99000,84900,84900,97000,92500,124900,104000,89900,98900,99900,125000,135900,115000,110000,99900,99000,98900,79900,84900,89900,83000,118000,101000,112900,94500,89900,92900,89900,99000
"Texas","MO",,"29","215",138500,129900,129900,130000,129900,119900,119000,118900,115000,110000,114900,110000,115900,110000,110000,109900,108500,105000,108500,110000,115000,115000,113000,110750,110000,109000,109900,109900,106000,99900,109900,114900,114900,109999,110000,113900,119900,125000,124900,124900,129900,129900,129900,128000,129000,125000,125000,128900,119900,119900,119900,123500,129900,128900,128900,125000,124900,124900,124900,123900,120000,120000,120000,119900,122900
"Franklin","KS","Kansas City","20","059",140000,144000,140000,140000,139900,139900,139900,124900,115000,115000,112500,123900,128500,125000,128000,124500,119900,125000,124900,119500,122500,115000,116000,115000,117500,117500,99900,104900,104500,109900,109900,117000,120000,119900,117900,110000,124900,119900,119000,119900,118500,119900,126000,120000,132000,124500,115000,119000,99950,89900,99000,89950,92500,99000,112000,119950,114999,115900,118000,114000,109900,100000,99950,113950,125000
"Cherokee","AL",,"01","019",239000,229900,240000,235400,215900,217000,209000,198000,189000,199000,199900,199000,198500,194000,189900,195900,191500,185000,179000,179000,178000,175000,179000,179000,178000,180000,181930,180000,179900,179900,179900,167700,167700,180000,175000,167500,179000,175000,162500,159900,167500,167700,185100,169000,169000,173900,185000,180000,140000,179900,175000,179500,175000,175000,193830,195000,192000,195000,193000,197500,169000,185000,185600,179000,179000
"Cleburne","AR",,"05","023",170000,167000,170000,167000,164000,170000,179000,183500,174500,175000,180000,184900,184900,199900,185000,189000,180000,189000,184900,189000,187900,189000,189000,179900,179900,179900,172900,162900,175000,179900,185000,182000,187000,187000,187500,189900,189000,189900,182000,179500,189000,185000,192000,192000,192000,192000,187500,195000,198000,199900,197500,195000,195000,198000,199900,212000,209900,212500,210000,199500,189000,180000,182000,184900,184900
"Charlevoix","MI",,"26","029",198900,190000,198900,189900,199000,199900,198900,199900,199900,198500,198900,199900,205000,219000,195000,194900,189900,199900,194900,214900,199900,199900,199000,209000,209000,215000,209000,199900,199900,195000,184900,179900,180000,179500,178000,174900,169900,169900,164500,169000,165000,179000,182000,179900,179900,194900,188500,184900,169000,169000,169900,160000,159900,167500,169900,174900,189900,189000,179900,179900,185000,185000,195000,189900,209000
"Posey","IN","Evansville","18","129",124900,112900,118900,124900,122900,127900,127900,135900,137900,140000,139900,135000,134900,127900,129900,134900,137900,134900,134900,136400,125000,125000,119900,129900,129900,129900,129900,139900,138000,134000,131900,129900,134900,134900,137000,124900,129900,119000,115000,112575,114900,106650,109900,109900,94900,99900,100000,119000,81900,115000,115000,109900,109900,119900,119450,109900,119500,119450,116500,129000,122500,116000,119000,117900,119500
"Brown","MN","New Ulm","27","015",124900,114900,114900,114900,114900,105000,105000,99900,114900,99900,105000,114900,124900,118900,104900,99900,99900,109900,114900,114900,119900,124000,119900,119900,119900,109900,109900,101900,100900,107900,100900,100900,104900,104900,108700,118900,104900,104900,102500,99900,99500,102500,107000,99900,104900,96000,94900,99900,99900,106900,108900,99999,97900,92000,99900,112500,112500,104900,104000,104000,99900,95000,94900,99900,99900
"Iosco","MI",,"26","069",122000,119900,119900,114900,109000,114600,105000,119000,118900,119000,115000,119500,119000,119000,119900,115000,99900,98500,99800,99900,99900,100000,99900,104500,104500,99900,95000,99000,90000,91500,92900,97500,108000,105000,106500,99900,99900,99900,90000,95000,89900,89250,89900,99000,99000,100000,99900,94900,94900,89900,89900,89900,89900,89900,92500,95000,99900,99900,97900,100000,97000,89900,89900,89900,97000
"Lyon","MN","Marshall","27","083",145000,139900,142000,145000,149900,149900,152000,159900,159000,159900,159900,159500,154000,148900,148900,145000,139900,138900,139900,140900,149900,157000,157000,159000,153900,149900,149900,149900,140000,135000,134900,143900,130000,134900,134900,129000,125000,124900,125000,125000,129900,128900,122000,125000,119900,123900,130000,127500,123000,120000,119500,117500,116900,117900,117500,117500,113900,110000,114900,113900,113000,99900,109900,113000,119000
"White","TN",,"47","185",139999,140000,145000,144500,139700,129900,129900,132500,139900,144900,144900,139900,139900,134900,133900,134900,129900,129900,129900,134900,134900,139900,130000,134990,135000,134900,130000,134900,129900,129900,135000,134900,129900,134900,134900,138900,129900,132900,139900,134900,134900,134900,134900,136000,132000,132900,134900,134900,134900,140000,134900,135000,138900,139900,139900,134900,142933,144900,148900,139900,144900,144900,144900,139900,134900
"Clarke","AL",,"01","025",139900,169900,159000,134900,134900,125000,132500,169900,139900,159900,159900,142900,124900,110000,124900,129500,106945,106945,89000,89000,99000,99000,99000,135000,137900,137900,150000,150000,119000,150000,140900,119900,102500,99900,145000,165000,149900,151000,149900,165000,229000,169000,169000,115000,115000,159000,149900,159000,179900,199000,199000,219000,219000,187900,177500,159000,180000,185000,175000,175000,179900,189500,179900,179900,179900
"Allen","LA",,"22","003",56900,49900,51900,51900,51900,99500,99900,99900,99900,99900,99900,89000,89900,89900,89900,99900,99900,99900,99900,89900,89900,89900,115000,98000,98000,89000,89000,83000,85000,115000,125000,132500,158600,120000,120000,124900,77900,119500,99900,99900,99900,89000,99900,89000,99900,85900,92000,89000,79900,74000,65000,84800,85000,85000,101000,115000,101000,108000,79000,101000,119000,139000,90000,110000,95000
"Union","OR","La Grande","41","061",179900,179900,184000,184900,180000,190000,189000,189000,186500,189000,186500,186500,180000,172900,170000,180000,179900,179900,179000,180000,198000,194900,189000,179900,168000,167800,154900,158900,169900,160000,169900,169900,159900,185000,184900,189000,184900,165000,143000,155000,149900,148500,157000,159900,155000,154500,180000,179900,154900,154900,149900,159900,160000,180000,180000,195000,195000,189900,181900,184000,180000,195000,198400,190000,190000
"Grayson","KY",,"21","085",145500,145500,135000,128900,107900,105000,99900,99999,105000,109900,109900,105000,109900,98000,99000,94500,91000,91000,98000,99000,99000,98000,99000,98500,99000,99000,99900,89900,89900,95000,99500,99900,100000,99900,99900,99000,99000,108000,99900,108000,99900,114900,115500,120000,125000,125000,119000,99900,99900,98400,99000,129900,129999,134900,134900,140000,137500,140000,139900,145000,135000,134900,134900,127000,125000
"Decatur","IN","Greensburg","18","031",129900,119900,119900,119900,119000,123900,109999,114900,114900,119900,119900,124900,124900,125000,124900,119900,123900,119900,126500,129900,129500,127900,129900,128900,128900,123900,112500,114000,115000,119900,119900,119900,119000,116900,115000,125000,124900,119000,118500,116900,119000,115000,110000,114900,118500,119000,117000,117000,117900,119900,115000,123500,117000,116900,119000,115900,129600,115000,109900,104900,109000,99500,94900,96500,109900
"Gladwin","MI",,"26","051",127000,124900,124500,119000,119900,125000,125410,125888,124900,119900,119900,124900,119000,110000,109888,109900,109000,109888,110000,118000,124900,129000,125900,124888,124888,119888,119000,115000,114900,113000,119000,119900,124500,119500,122000,119900,115000,110000,99900,99900,99900,99900,99900,109000,110000,109900,109900,109900,99900,108000,105000,109900,99900,100900,99977,109000,109900,110000,109900,109900,105000,99900,99900,99000,99900
